Well Name,# Stages,# Clusters ,Estimated Average Stage Time,Actual Average Stage Time,Frac Fleet,Fleet Type,Target Formation,Field Area,Ambient Temperature,Grid,Diesel,CNG,Fuel Type,Sand Provider 
St. Louis 3H,31,204,73.1,86,Fleet 8,Zipper,Rodeo,DKR,40.1,0,23203,5682,DGB,SAND_C_X
Somerset 1H,45,305,95.2,,Fleet 10,Zipper,Cowboy,DKR,40.1,0,109485,0,Diesel,SAND_C_A
Somerset 2H,44,260,,111.1,Fleet 10,Zipper,Cowboy,DKR,40.1,0,105735,0,Diesel,SAND_C_X
Somerset 3H,44,265,85.7,108.1,Fleet 10,Zipper,Longhorn,DKR,,0,103342,0,Diesel,SAND_C_R
Somerset 4H,44,281,95.2,111.4,Fleet 10,Zipper,Cowboy,DKR,40.1,0,108951,0,Diesel,SAND_C_X
Somerset 5H,44,295,85.7,,Fleet 10,Zipper,Longhorn,DKR,40.1,0,105640,0,Diesel,SAND_C_X
Somerset 6H,44,302,85.7,113.2,Fleet 10,Zipper,Longhorn,DKR,40.1,0,106921,0,Diesel,SAND_C_X
Bennett 1H,64,422,85.7,110.2,Fleet 6,Zipper,Longhorn,CPE,40.3,0,62206,12644,DGB,SAND_C_X
Bennett 2H,64,413,,111.4,Fleet 6,Zipper,Longhorn,CPE,40.3,0,65565,12779,DGB,SAND_C_X
Bennett 3H,64,496,85.7,101.8,Fleet 6,Zipper,Lone Star,CPE,40.3,0,57370,12878,DGB,SAND_C_A
Bennett 4H,64,401,85.7,105.8,Fleet 6,Zipper,Lone Star,CPE,40.3,0,57766,12945,DGB,SAND_C_X
Bennett 5H,64,497,85.7,104.6,Fleet 6,Zipper,Longhorn,CPE,40.3,0,58906,12912,DGB,SAND_C_A
Lander 1H,44,328,96,122.3,Fleet 12,Simul,Rodeo,DKR,40.5,0,71389,0,Diesel,SAND_C_X
Lander 2H,44,303,96,108.1,Fleet 12,Simul,Rodeo,DKR,,0,62011,0,Diesel,SAND_C_A
Lander 3H,44,278,96,109.7,Fleet 12,Simul,Rodeo,DKR,40.5,0,76083,0,Diesel,SAND_C_A
Lander 4H,44,293,,75,Fleet 12,Simul,Bluebonnet,DKR,40.5,0,76908,0,Diesel,SAND_C_A
Lander 5H,44,286,106.7,19.2,Fleet 12,Simul,Bluebonnet,DKR,40.5,0,75828,0,Diesel,SAND_C_A
Lander 6H,44,333,106.7,117.4,Fleet 12,Simul,Bluebonnet,DKR,40.5,0,81897,0,Diesel,SAND_C_X
Hoke 1H,49,393,,87.5,Fleet 15,Zipper,Bluebonnet,West Campus,41.7,0,87066,0,Diesel,SAND_C_R
Hoke 2H,49,341,76.2,90,Fleet 15,Zipper,Bluebonnet,West Campus,41.7,0,86428,0,Diesel,SAND_C_X
Hoke 3H,49,297,76.2,,Fleet 15,Zipper,Bluebonnet,West Campus,41.7,0,86136,0,Diesel,SAND_C_X
Meigs 1H,51,377,,123.6,Fleet 1,Simul,Cowboy,Moody Center,41.8,0,0,10439,Turbine,SAND_C_R
Meigs 2H,51,327,106.7,121.9,Fleet 1,Simul,Bluebonnet,Moody Center,41.8,0,0,9780,Turbine,SAND_C_X
Meigs 3H,51,339,106.7,122.3,Fleet 1,Simul,Bluebonnet,Moody Center,41.8,0,0,9894,Turbine,SAND_C_R
Meigs 4H,43,280,102.4,124.9,Fleet 1,Simul,Rodeo,Moody Center,,0,0,8639,Turbine,SAND_C_A
Meigs 5H,51,311,,,Fleet 1,Simul,Monarch Butterfly,Moody Center,41.8,0,0,9469,Turbine,SAND_C_A
Cape Girardeau 1H,49,390,120,141,Fleet 12,Simul,Longhorn,The Tower,42.2,0,107808,0,Diesel,SAND_C_A
Cape Girardeau 2H,49,392,133.3,,Fleet 12,Simul,Cowboy,The Tower,42.2,0,108745,0,Diesel,SAND_C_A
Cape Girardeau 3H,49,337,133.3,117.7,Fleet 12,Simul,Lone Star,The Tower,42.2,0,101921,0,Diesel,SAND_C_X
Cape Girardeau 4H,49,344,,140.7,Fleet 12,Simul,Cowboy,The Tower,,0,104537,0,Diesel,SAND_C_X
Otoe 1H,65,479,72,84.4,Fleet 14,Simul,Rodeo,DKR,42.7,0,105870,0,Diesel,SAND_C_A
Otoe 2H,65,409,,89.3,Fleet 14,Simul,Bluebonnet,DKR,42.7,0,86861,0,Diesel,SAND_C_X
Otoe 3H,65,419,80,100.1,Fleet 14,Simul,Bluebonnet,DKR,42.7,0,79715,0,Diesel,SAND_C_X
Otoe 4H,65,433,90,99.7,Fleet 14,Simul,Longhorn,DKR,42.7,0,74425,0,Diesel,SAND_C_X
Otoe 5H,65,481,100,87.3,Fleet 14,Simul,Cowboy,DKR,42.7,0,101214,0,Diesel,SAND_C_X
Otoe 6H,65,407,100,,Fleet 14,Simul,Cowboy,DKR,42.7,0,104562,0,Diesel,SAND_C_X
Jackson 1H,32,240,102.4,116.3,Fleet 2,Simul,Rodeo,Guadalupe,42.7,0,0,7081,Turbine,SAND_C_R
Jackson 2H,32,195,,116.9,Fleet 2,Simul,Rodeo,Guadalupe,42.7,0,0,5951,Turbine,SAND_C_X
Jackson 3H,39,306,106.7,118.6,Fleet 2,Simul,Longhorn,Guadalupe,42.7,0,0,7631,Turbine,SAND_C_X
Jackson 4H,39,323,106.7,125.3,Fleet 2,Simul,Longhorn,Guadalupe,42.7,0,0,7855,Turbine,SAND_C_R
Jackson 5H,39,275,106.7,,Fleet 2,Simul,Bluebonnet,Guadalupe,42.7,0,0,7771,Turbine,SAND_C_R
Jackson 6H,39,305,106.7,,Fleet 2,Simul,Bluebonnet,Guadalupe,42.7,0,0,7262,Turbine,SAND_C_A
Childress 1H,101,718,90,103.9,Fleet 1,Simul,Longhorn,The Tower,42.8,0,0,23442,Turbine,SAND_C_A
Childress 2H,101,705,90,103.2,Fleet 1,Simul,Longhorn,The Tower,,0,0,22707,Turbine,SAND_C_A
Childress 3H,101,663,,132.9,Fleet 1,Simul,Lone Star,The Tower,42.8,0,0,28638,Turbine,SAND_C_X
Childress 4H,101,734,120,133.7,Fleet 1,Simul,Lone Star,The Tower,42.8,0,0,28284,Turbine,SAND_C_A
Butler 1H,62,481,120,125.6,Fleet 14,Simul,Lone Star,Gregory Gym,42.9,0,103276,0,Diesel,SAND_C_X
Butler 2H,62,421,120,124,Fleet 14,Simul,Lone Star,Gregory Gym,,0,98540,0,Diesel,SAND_C_A
Butler 3H,62,405,120,124.7,Fleet 14,Simul,Lone Star,Gregory Gym,42.9,0,107851,0,Diesel,SAND_C_R
Butler 4H,62,484,,124.5,Fleet 14,Simul,Longhorn,Gregory Gym,42.9,0,111358,0,Diesel,SAND_C_A
Butler 5H,62,388,,126,Fleet 14,Simul,Longhorn,Gregory Gym,,0,106207,0,Diesel,SAND_C_X
Butler 6H,62,458,106.7,125.6,Fleet 14,Simul,Longhorn,Gregory Gym,42.9,0,112595,0,Diesel,SAND_C_A
Oldham 1H,31,186,73.1,91.2,Fleet 6,Zipper,Rodeo,West Campus,43.1,0,60356,0,Diesel,SAND_C_X
Oldham 3H,37,306,76.2,,Fleet 6,Zipper,Bluebonnet,West Campus,43.1,0,78325,0,Diesel,SAND_C_A
Oldham 4H,37,270,76.2,101.1,Fleet 6,Zipper,Bluebonnet,West Campus,43.1,0,82272,0,Diesel,SAND_C_R
Oldham 5H,31,247,73.1,,Fleet 6,Zipper,Rodeo,West Campus,43.1,0,62023,0,Diesel,SAND_C_X
Oldham 6H,37,305,76.2,,Fleet 6,Zipper,Bluebonnet,West Campus,43.1,0,78570,0,Diesel,SAND_C_R
Keweenaw 1H,75,501,68.6,88.2,Fleet 15,Zipper,Longhorn,Gregory Gym,,0,128507,0,Diesel,SAND_C_R
Keweenaw 2H,75,540,68.6,,Fleet 15,Zipper,Lone Star,Gregory Gym,43.2,0,132657,0,Diesel,SAND_C_X
Keweenaw 3H,75,481,76.2,,Fleet 15,Zipper,Bluebonnet,Gregory Gym,43.2,0,130753,0,Diesel,SAND_C_A
Blanco 1H,43,269,102.4,110.2,Fleet 2,Simul,Rodeo,Guadalupe,43.3,0,0,8887,Turbine,SAND_C_X
Blanco 3H,51,360,,108.8,Fleet 2,Simul,Cowboy,Guadalupe,43.3,0,0,10862,Turbine,SAND_C_X
Blanco 4H,51,354,96,,Fleet 2,Simul,Longhorn,Guadalupe,43.3,0,0,11762,Turbine,SAND_C_R
Beaufort 1H,51,325,76.2,91.7,Fleet 4,Zipper,Longhorn,West Campus,43.4,0,0,14545,Turbine,SAND_C_A
Beaufort 3H,51,324,76.2,100.6,Fleet 4,Zipper,Longhorn,West Campus,43.4,0,0,15796,Turbine,SAND_C_A
Greene 1H,49,320,106.7,93.6,Fleet 2,Simul,Bluebonnet,West Campus,44,0,86162,0,Diesel,SAND_C_X
Greene 2H,49,375,106.7,,Fleet 2,Simul,Bluebonnet,West Campus,44,0,89225,0,Diesel,SAND_C_X
Greene 3H,49,335,106.7,108.2,Fleet 2,Simul,Bluebonnet,West Campus,44,0,89906,0,Diesel,SAND_C_A
Greene 4H,42,250,115.2,100.4,Fleet 2,Simul,Rodeo,West Campus,44,0,79679,0,Diesel,SAND_C_A
Greene 5H,42,343,115.2,,Fleet 2,Simul,Rodeo,West Campus,44,0,84186,0,Diesel,SAND_C_A
McIntosh 1H,49,335,76.2,,Fleet 11,Zipper,Bluebonnet,West Campus,44,0,92777,0,Diesel,SAND_C_A
McIntosh 2H,50,386,95.2,-66.3,Fleet 11,Zipper,Cowboy,West Campus,44,0,114313,0,Diesel,SAND_C_A
McIntosh 3H,50,353,68.6,84.9,Fleet 11,Zipper,Rodeo,West Campus,44,0,81466,0,Diesel,SAND_C_R
McIntosh 4H,50,357,85.7,0,Fleet 11,Zipper,Longhorn,West Campus,44,0,103938,0,Diesel,SAND_C_A
Queen Anne's 2H,50,398,76.2,94,Fleet 6,Zipper,Cowboy,Guadalupe,44.5,0,83196,3653,DGB,SAND_C_A
Queen Anne's 3H,50,347,76.2,92.1,Fleet 6,Zipper,Cowboy,Guadalupe,44.5,0,82714,3547,DGB,SAND_C_A
Queen Anne's 4H,50,320,,94.7,Fleet 6,Zipper,Longhorn,Guadalupe,44.5,0,83067,3645,DGB,SAND_C_R
Queen Anne's 5H,50,376,76.2,95.1,Fleet 6,Zipper,Longhorn,Guadalupe,44.5,0,84050,3529,DGB,SAND_C_X
Leelanau 1H,62,451,,138.2,Fleet 12,Simul,Longhorn,CPE,44.6,0,130110,0,Diesel,SAND_C_A
Leelanau 2H,62,415,120,,Fleet 12,Simul,Longhorn,CPE,44.6,0,134115,0,Diesel,SAND_C_R
Leelanau 3H,62,465,120,138,Fleet 12,Simul,Longhorn,CPE,44.6,0,143870,0,Diesel,SAND_C_X
Leelanau 4H,62,401,133.3,139.8,Fleet 12,Simul,Lone Star,CPE,,0,147167,0,Diesel,SAND_C_R
Leelanau 5H,62,459,133.3,,Fleet 12,Simul,Lone Star,CPE,44.6,0,153671,0,Diesel,SAND_C_A
Leelanau 6H,62,417,133.3,138.8,Fleet 12,Simul,Lone Star,CPE,44.6,0,147276,0,Diesel,SAND_C_X
Grand Traverse 1H,50,315,106.7,99.7,Fleet 2,Simul,Bluebonnet,Guadalupe,44.7,0,95790,0,Diesel,SAND_C_A
Grand Traverse 2H,50,376,,103.8,Fleet 2,Simul,Bluebonnet,Guadalupe,44.7,0,100600,0,Diesel,SAND_C_X
Grand Traverse 3H,50,336,106.7,97.3,Fleet 2,Simul,Monarch Butterfly,Guadalupe,44.7,0,98364,0,Diesel,SAND_C_A
Grand Traverse 4H,50,303,106.7,100.3,Fleet 2,Simul,Monarch Butterfly,Guadalupe,44.7,0,96494,0,Diesel,SAND_C_A
Grand Traverse 5H,50,355,106.7,97.2,Fleet 2,Simul,Rodeo,Guadalupe,44.7,0,95202,0,Diesel,SAND_C_X
Grand Traverse 6H,50,353,106.7,,Fleet 2,Simul,Rodeo,Guadalupe,44.7,0,93092,0,Diesel,SAND_C_A
Scotland 1H,37,251,140,119.8,Fleet 2,Simul,Armadillo,Guadalupe,45,0,80209,0,Diesel,SAND_C_X
Scotland 2H,37,233,140,74.9,Fleet 2,Simul,Armadillo,Guadalupe,45,0,87785,0,Diesel,SAND_C_R
Scotland 3H,37,264,140,,Fleet 2,Simul,Armadillo,Guadalupe,45,0,82074,0,Diesel,SAND_C_R
Morrow 1H,81,530,72,84.8,Fleet 14,Simul,Rodeo,DKR,45.4,0,96540,0,Diesel,SAND_C_R
Morrow 2H,81,551,72,85,Fleet 14,Simul,Rodeo,DKR,45.4,0,96513,0,Diesel,SAND_C_A
Morrow 3H,81,526,72,71.8,Fleet 14,Simul,Rodeo,DKR,45.4,0,98472,0,Diesel,SAND_C_X
Morrow 4H,81,615,,88.2,Fleet 14,Simul,Bluebonnet,DKR,45.4,0,93832,0,Diesel,SAND_C_X
Morrow 5H,81,550,80,-6883214.2,Fleet 14,Simul,Bluebonnet,DKR,45.4,0,89478,0,Diesel,SAND_C_X
Morrow 6H,81,535,80,91.5,Fleet 14,Simul,Bluebonnet,DKR,45.4,0,95002,0,Diesel,SAND_C_R
Camden 1H,50,394,,105,Fleet 4,Zipper,Longhorn,CPE,45.4,0,0,15898,Turbine,SAND_C_A
Camden 2H,50,386,85.7,,Fleet 4,Zipper,Longhorn,CPE,45.4,0,0,15898,Turbine,SAND_C_A
Camden 3H,50,310,85.7,101.3,Fleet 4,Zipper,Longhorn,CPE,45.4,0,0,15898,Turbine,SAND_C_X
Camden 4H,52,360,95.2,109.4,Fleet 4,Zipper,Lone Star,CPE,45.4,0,0,15898,Turbine,SAND_C_R
Camden 5H,52,353,95.2,108.8,Fleet 4,Zipper,Lone Star,CPE,45.4,0,0,15898,Turbine,SAND_C_A
Camden 6H,52,349,95.2,,Fleet 4,Zipper,Lone Star,CPE,45.4,0,0,15899,Turbine,SAND_C_R
Lycoming 1H,43,257,,111.3,Fleet 2,Simul,Rodeo,Guadalupe,45.4,0,0,7693,Turbine,SAND_C_A
Lycoming 2H,51,406,,108.1,Fleet 2,Simul,Magnolia,Guadalupe,,0,0,9511,Turbine,SAND_C_A
Lycoming 3H,51,370,106.7,114.1,Fleet 2,Simul,Bluebonnet,Guadalupe,45.4,0,0,10169,Turbine,SAND_C_X
Lycoming 4H,51,335,96,111,Fleet 2,Simul,Cowboy,Guadalupe,45.4,0,0,9275,Turbine,SAND_C_X
Lycoming 5H,51,339,96,,Fleet 2,Simul,Cowboy,Guadalupe,45.4,0,0,9365,Turbine,SAND_C_X
Pennington 1H,50,320,,120.1,Fleet 14,Simul,Cowboy,Guadalupe,45.5,0,88569,0,Diesel,SAND_C_X
Pennington 2H,50,349,106.7,,Fleet 14,Simul,Longhorn,Guadalupe,45.5,0,84329,0,Diesel,SAND_C_X
Pennington 3H,50,343,,,Fleet 14,Simul,Cowboy,Guadalupe,45.5,0,88617,0,Diesel,SAND_C_X
Pennington 4H,50,391,106.7,,Fleet 14,Simul,Cowboy,Guadalupe,,0,90962,0,Diesel,SAND_C_R
Pennington 5H,50,366,106.7,119.9,Fleet 14,Simul,Longhorn,Guadalupe,45.5,0,88352,0,Diesel,SAND_C_X
Crawford 1H,49,352,68.6,86.9,Fleet 15,Zipper,Bluebonnet,West Campus,,0,85985,0,Diesel,SAND_C_X
Crawford 2H,41,290,82.3,100.8,Fleet 15,Zipper,Rodeo,West Campus,45.8,0,85595,0,Diesel,SAND_C_R
Crawford 3H,50,324,68.6,87.9,Fleet 15,Zipper,Bluebonnet,West Campus,45.8,0,85581,0,Diesel,SAND_C_A
Crawford 4H,50,306,68.6,88.6,Fleet 15,Zipper,Bluebonnet,West Campus,45.8,0,83515,0,Diesel,SAND_C_R
Union 1H,51,398,128.6,97.2,Fleet 8,Zipper,Cowboy,The Tower,46.6,0,54794,16705,DGB,SAND_C_R
Union 2H,51,380,128.6,108.4,Fleet 8,Zipper,Cowboy,The Tower,46.6,0,55060,16594,DGB,SAND_C_R
Union 3H,51,365,128.6,100.5,Fleet 8,Zipper,Cowboy,The Tower,46.6,0,55242,17166,DGB,SAND_C_R
Montmorency 1H,75,553,96,109.8,Fleet 14,Simul,Longhorn,Gregory Gym,46.7,0,119966,0,Diesel,SAND_C_A
Montmorency 3H,75,476,106.7,119.8,Fleet 14,Simul,Bluebonnet,Gregory Gym,,0,117262,0,Diesel,SAND_C_X
Montmorency 4H,75,482,96,109.5,Fleet 14,Simul,Lone Star,Gregory Gym,46.7,0,120446,0,Diesel,SAND_C_A
Montmorency 5H,75,531,96,109,Fleet 14,Simul,Lone Star,Gregory Gym,46.7,0,119965,0,Diesel,SAND_C_X
Montmorency 6H,75,571,106.7,119,Fleet 14,Simul,Bluebonnet,Gregory Gym,,0,118838,0,Diesel,SAND_C_A
Livingston 1H,50,373,106.7,99.4,Fleet 2,Simul,Bluebonnet,Gregory Gym,46.9,0,112198,0,Diesel,SAND_C_X
Livingston 2H,50,322,106.7,95.3,Fleet 2,Simul,Bluebonnet,Gregory Gym,46.9,0,96725,0,Diesel,SAND_C_A
Livingston 3H,50,319,,124.1,Fleet 2,Simul,Longhorn,Gregory Gym,46.9,0,107655,0,Diesel,SAND_C_X
Livingston 4H,50,345,,113.4,Fleet 2,Simul,Longhorn,Gregory Gym,46.9,0,96153,0,Diesel,SAND_C_X
Livingston 5H,50,337,106.7,93.8,Fleet 2,Simul,Lone Star,Gregory Gym,46.9,0,107693,0,Diesel,SAND_C_A
Emmet 1H,62,399,,99.9,Fleet 8,Zipper,Longhorn,CPE,47.2,0,55346,15396,DGB,SAND_C_R
Emmet 2H,62,478,85.7,99.8,Fleet 8,Zipper,Longhorn,CPE,47.2,0,57421,14943,DGB,SAND_C_X
Emmet 3H,62,448,85.7,102.5,Fleet 8,Zipper,Longhorn,CPE,47.2,0,59730,15478,DGB,SAND_C_X
Emmet 4H,62,452,95.2,112.6,Fleet 8,Zipper,Lone Star,CPE,47.2,0,61301,17001,DGB,SAND_C_X
Emmet 5H,62,385,,113.7,Fleet 8,Zipper,Lone Star,CPE,47.2,0,61176,16878,DGB,SAND_C_R
Emmet 6H,62,431,95.2,115.6,Fleet 8,Zipper,Lone Star,CPE,47.2,0,64154,16774,DGB,SAND_C_A
Williams 3H,49,343,68.6,84.4,Fleet 10,Zipper,Rodeo,DKR,47.4,0,89114,0,Diesel,SAND_C_X
Williams 4H,49,307,68.6,84.6,Fleet 10,Zipper,Rodeo,DKR,47.4,0,87355,0,Diesel,SAND_C_A
Williams 5H,49,350,68.6,,Fleet 10,Zipper,Bluebonnet,DKR,47.4,0,91752,0,Diesel,SAND_C_A
Williams 6H,49,333,68.6,85.4,Fleet 10,Zipper,Bluebonnet,DKR,47.4,0,92553,0,Diesel,SAND_C_A
Ouachita 1H,75,521,133.3,147.3,Fleet 12,Simul,Cowboy,CPE,47.6,0,183366,0,Diesel,SAND_C_A
Ouachita 2H,75,483,133.3,148.6,Fleet 12,Simul,Cowboy,CPE,47.6,0,179655,0,Diesel,SAND_C_A
Ouachita 3H,75,555,133.3,146.3,Fleet 12,Simul,Lone Star,CPE,47.6,0,186976,0,Diesel,SAND_C_A
Ouachita 5H,75,557,133.3,149.5,Fleet 12,Simul,Lone Star,CPE,47.6,0,179749,0,Diesel,SAND_C_X
Monroe 1H,75,507,85.7,111.7,Fleet 11,Zipper,Longhorn,CPE,,0,188275,0,Diesel,SAND_C_A
Monroe 2H,75,496,85.7,111.8,Fleet 11,Zipper,Longhorn,CPE,47.7,0,183552,0,Diesel,SAND_C_X
Monroe 3H,75,568,,111.8,Fleet 11,Zipper,Longhorn,CPE,47.7,0,185127,0,Diesel,SAND_C_R
Clarion 1H,50,393,96,85.3,Fleet 2,Simul,Rodeo,West Campus,48.1,0,79966,0,Diesel,SAND_C_A
Clarion 2H,49,312,106.7,78.9,Fleet 2,Simul,Monarch Butterfly,West Campus,48.1,0,82616,0,Diesel,SAND_C_X
Clarion 3H,50,400,106.7,97.3,Fleet 2,Simul,Monarch Butterfly,West Campus,48.1,0,86270,0,Diesel,SAND_C_A
Wallowa 1H,51,362,106.7,119.9,Fleet 1,Simul,Monarch Butterfly,Moody Center,48.2,0,0,10395,Turbine,SAND_C_R
Wallowa 2H,51,376,,121.8,Fleet 1,Simul,Monarch Butterfly,Moody Center,48.2,0,0,10222,Turbine,SAND_C_X
Wallowa 3H,43,332,102.4,120.5,Fleet 1,Simul,Rodeo,Moody Center,,0,0,7151,Turbine,SAND_C_X
Wallowa 4H,51,337,106.7,123,Fleet 1,Simul,Bluebonnet,Moody Center,48.2,0,0,9223,Turbine,SAND_C_X
Wallowa 5H,51,362,106.7,123,Fleet 1,Simul,Cowboy,Moody Center,48.2,0,0,10426,Turbine,SAND_C_A
Stanton 1H,39,232,76.2,86.5,Fleet 15,Zipper,Bluebonnet,Guadalupe,48.5,0,62251,0,Diesel,SAND_C_X
Stanton 2H,39,300,76.2,86.9,Fleet 15,Zipper,Bluebonnet,Guadalupe,48.5,0,62930,0,Diesel,SAND_C_X
Stanton 3H,39,323,76.2,86,Fleet 15,Zipper,Bluebonnet,Guadalupe,48.5,0,72238,0,Diesel,SAND_C_X
Perry 1H,45,276,106.7,,Fleet 12,Simul,Longhorn,DKR,48.5,0,84311,0,Diesel,SAND_C_A
Perry 2H,45,301,106.7,123.8,Fleet 12,Simul,Bluebonnet,DKR,48.5,0,76735,0,Diesel,SAND_C_A
Perry 3H,45,343,106.7,120.9,Fleet 12,Simul,Bluebonnet,DKR,,0,81480,0,Diesel,SAND_C_X
Perry 4H,45,275,106.7,122.1,Fleet 12,Simul,Cowboy,DKR,48.5,0,88401,0,Diesel,SAND_C_A
Perry 5H,45,286,,121.8,Fleet 12,Simul,Cowboy,DKR,,0,88307,0,Diesel,SAND_C_X
Perry 6H,37,268,102.4,,Fleet 12,Simul,Rodeo,DKR,48.5,0,62794,0,Diesel,SAND_C_R
Perry 7H,45,352,106.7,121.1,Fleet 12,Simul,Monarch Butterfly,DKR,48.5,0,73858,0,Diesel,SAND_C_X
Perry 8H,45,284,106.7,119.3,Fleet 12,Simul,Monarch Butterfly,DKR,48.5,0,72265,0,Diesel,SAND_C_X
Jasper 1H,46,318,77.1,92.5,Fleet 8,Zipper,Longhorn,Guadalupe,49,0,32662,8772,DGB,SAND_C_R
Jasper 2H,51,315,,93.7,Fleet 8,Zipper,Bluebonnet,Guadalupe,49,0,36446,9726,DGB,SAND_C_X
Jasper 3H,46,341,77.1,86.2,Fleet 8,Zipper,Cowboy,Guadalupe,49,0,33734,8884,DGB,SAND_C_X
Jasper 4H,43,264,73.1,86.6,Fleet 8,Zipper,Rodeo,Guadalupe,49,0,28131,7571,DGB,SAND_C_R
Jasper 5H,51,313,76.2,85.2,Fleet 8,Zipper,Monarch Butterfly,Guadalupe,49,0,34332,9024,DGB,SAND_C_A
Clarendon 1H,68,524,100,109,Fleet 12,Simul,Lone Star,Gregory Gym,49,0,112358,0,Diesel,SAND_C_A
Clarendon 2H,68,478,100,104.8,Fleet 12,Simul,Lone Star,Gregory Gym,,0,112428,0,Diesel,SAND_C_R
Clarendon 3H,65,484,90,106.7,Fleet 12,Simul,Longhorn,Gregory Gym,,0,91157,0,Diesel,SAND_C_A
Clarendon 4H,65,407,90,,Fleet 12,Simul,Longhorn,Gregory Gym,49,0,96079,0,Diesel,SAND_C_A
Clarendon 5H,65,436,90,100,Fleet 12,Simul,Longhorn,Gregory Gym,49,0,105414,0,Diesel,SAND_C_X
Clarendon 6H,68,447,,111.8,Fleet 12,Simul,Lone Star,Gregory Gym,49,0,98419,0,Diesel,SAND_C_A
Washita 1H,43,288,73.1,90.5,Fleet 4,Zipper,Rodeo,Guadalupe,49.2,0,0,9436,Turbine,SAND_C_X
Washita 2H,46,349,,91.8,Fleet 4,Zipper,Longhorn,Guadalupe,49.2,0,0,12120,Turbine,SAND_C_A
Washita 4H,46,361,,90,Fleet 4,Zipper,Cowboy,Guadalupe,49.2,0,0,11830,Turbine,SAND_C_A
Pike 1H,43,297,114.3,,Fleet 8,Zipper,Cowboy,The Tower,49.5,0,35621,11677,DGB,SAND_C_R
Pike 2H,43,288,,103.6,Fleet 8,Zipper,Cowboy,The Tower,49.5,0,34262,12178,DGB,SAND_C_A
Pike 3H,43,303,114.3,113.1,Fleet 8,Zipper,Cowboy,The Tower,49.5,0,37934,11616,DGB,SAND_C_A
